site_id,habitat,area,rubble,k,Reef,reef_siteid,long,lat,sitedepth,recom_connectivity
TR_IF_2,Inner Flat,207341.3815,FALSE,72.6146789,Thetford,Thetford_TR_IF_2,146.1971534,-16.80633432,-1.430588207,262
TR_IF_3,Inner Flat,133003.9476,FALSE,29.81455064,Thetford,Thetford_TR_IF_3,146.1894145,-16.80056746,-2.277173061,280
TR_IF_4,Inner Flat,222951.8202,FALSE,32.37932507,Thetford,Thetford_TR_IF_4,146.1922182,-16.80740942,-2.361604215,275
TR_IF_5,Inner Flat,130527.0957,FALSE,37.19912473,Thetford,Thetford_TR_IF_5,146.1818333,-16.81270089,-2.095977014,295
TR_IF_6,Inner Flat,256689.6753,FALSE,59.91107818,Thetford,Thetford_TR_IF_6,146.1914258,-16.81091672,-1.836499219,279
TR_IF_7,Inner Flat,253227.1055,FALSE,41.18311982,Thetford,Thetford_TR_IF_7,146.1925625,-16.80410379,-2.382494859,276
TR_OF_1,Outer Flat,54014.20653,FALSE,60.70175439,Thetford,Thetford_TR_OF_1,146.1906072,-16.80108447,-2.619066419,280
TR_OF_2,Outer Flat,142089.569,FALSE,43.37592468,Thetford,Thetford_TR_OF_2,146.1901617,-16.81329751,-1.415978061,279
TR_OF_3,Outer Flat,226991.3332,FALSE,44.49579832,Thetford,Thetford_TR_OF_3,146.1950683,-16.80124547,-1.534381769,269
TR_OF_4,Outer Flat,144895.9873,FALSE,61.07470511,Thetford,Thetford_TR_OF_4,146.1965802,-16.80931485,-1.47360692,261
TR_OF_5,Outer Flat,27475.35958,FALSE,52.96167247,Thetford,Thetford_TR_OF_5,146.1824081,-16.80386057,-2.838602886,296
TR_OF_6,Outer Flat,108356.8193,FALSE,65.32751092,Thetford,Thetford_TR_OF_6,146.1792673,-16.81394402,-1.807110702,298
TR_OF_7,Outer Flat,29666.78815,FALSE,11.97411003,Thetford,Thetford_TR_OF_7,146.1844675,-16.81481214,-1.407585034,290
TR_SS_1,Sheltered Slope,936.6064326,TRUE,37,Thetford,Thetford_TR_SS_1,146.1869369,-16.79887679,-8.640400028,286
TR_SS_2,Sheltered Slope,20608.68716,FALSE,25.82568807,Thetford,Thetford_TR_SS_2,146.1789848,-16.8112817,-9.414579204,299
TR_S_1,Slope,189847.8462,FALSE,31.28564282,Thetford,Thetford_TR_S_1,146.1746782,-16.81224379,-13.65108166,304
TR_S_10,Slope,67441.36834,FALSE,20.84269663,Thetford,Thetford_TR_S_10,146.1985247,-16.7997051,-9.368437977,263
TR_S_11,Slope,57146.65093,FALSE,30,Thetford,Thetford_TR_S_11,146.1793987,-16.81564925,-12.52251986,298
TR_S_12,Slope,59648.3802,FALSE,33.31469649,Thetford,Thetford_TR_S_12,146.1960149,-16.81316667,-11.28070119,268
TR_S_13,Slope,140815.2352,FALSE,30.22957461,Thetford,Thetford_TR_S_13,146.1766916,-16.80759007,-12.42311788,303
TR_S_14,Slope,48092.11915,FALSE,33.79960317,Thetford,Thetford_TR_S_14,146.1842628,-16.81573606,-13.31809918,290
TR_S_2,Slope,61209.73701,FALSE,37.10403727,Thetford,Thetford_TR_S_2,146.1901429,-16.81515463,-12.33921355,278
TR_S_3,Slope,189495.9894,FALSE,31.97388247,Thetford,Thetford_TR_S_3,146.1868372,-16.79558205,-13.385037,287
TR_S_4,Slope,185140.2007,FALSE,24.89722508,Thetford,Thetford_TR_S_4,146.1945226,-16.79753379,-9.858476463,270
TR_S_5,Slope,51815.93369,FALSE,24.27777778,Thetford,Thetford_TR_S_5,146.184154,-16.7889446,-12.65107095,292
TR_S_6,Slope,40905.62359,FALSE,19.75247525,Thetford,Thetford_TR_S_6,146.2008431,-16.80417573,-6.912650004,256
TR_S_7,Slope,46842.66898,FALSE,27.09574468,Thetford,Thetford_TR_S_7,146.2003432,-16.80959513,-7.453293885,254
TR_S_8,Slope,122069.6558,FALSE,24.15752351,Thetford,Thetford_TR_S_8,146.1899951,-16.79711145,-9.960445371,281
TR_S_9,Slope,9989.258783,FALSE,34.75961538,Thetford,Thetford_TR_S_9,146.1790779,-16.79456205,-14.20916274,301
ER_BR_1,Back Reef,18452.53209,FALSE,32.40740741,Elford,Elford_ER_BR_1,146.1955084,-16.90019482,-14.59818239,265
ER_BR_10,Back Reef,31297.97185,TRUE,30.13719512,Elford,Elford_ER_BR_10,146.2895175,-16.90917556,-11.4480032,26
ER_BR_11,Back Reef,25657.95309,FALSE,35.86466165,Elford,Elford_ER_BR_11,146.2433115,-16.91090687,-13.78430045,118
ER_BR_12,Back Reef,22537.76336,FALSE,35,Elford,Elford_ER_BR_12,146.3070829,-16.91141542,-16.45790397,3
ER_BR_13,Back Reef,12201.24935,FALSE,32.61538462,Elford,Elford_ER_BR_13,146.2235761,-16.90863212,-9.424900865,185
ER_BR_14,Back Reef,18143.75725,FALSE,42.34972678,Elford,Elford_ER_BR_14,146.2057555,-16.90950595,-7.319243271,239
ER_BR_15,Back Reef,30984.94117,FALSE,28.53658537,Elford,Elford_ER_BR_15,146.2849255,-16.91071059,-11.74314099,34
ER_BR_16,Back Reef,17204.85949,FALSE,32.44505495,Elford,Elford_ER_BR_16,146.1970159,-16.91117476,-14.38201157,257
ER_BR_17,Back Reef,4692.559847,FALSE,46,Elford,Elford_ER_BR_17,146.2130419,-16.90952729,-3.587551,214
ER_BR_18,Back Reef,23790.8543,FALSE,35.52845528,Elford,Elford_ER_BR_18,146.3034437,-16.91518145,-15.66318359,5
ER_BR_19,Back Reef,50069.69823,FALSE,25.90654206,Elford,Elford_ER_BR_19,146.2504488,-16.91474734,-12.47467423,94
ER_BR_2,Back Reef,21269.01886,TRUE,34.18981481,Elford,Elford_ER_BR_2,146.212566,-16.89878481,-14.70309613,223
ER_BR_20,Back Reef,15954.79079,FALSE,28.88554217,Elford,Elford_ER_BR_20,146.202314,-16.91370369,-12.05889569,243
ER_BR_21,Back Reef,20970.06156,FALSE,31.25570776,Elford,Elford_ER_BR_21,146.2785606,-16.91426176,-14.08298991,47
ER_BR_22,Back Reef,6259.099448,FALSE,30.22727273,Elford,Elford_ER_BR_22,146.265421,-16.91306946,-14.07791667,74
ER_BR_23,Back Reef,50072.71913,FALSE,29.2630597,Elford,Elford_ER_BR_23,146.2557574,-16.91642744,-12.84875613,89
ER_BR_24,Back Reef,45065.90242,FALSE,31.70235546,Elford,Elford_ER_BR_24,146.2599958,-16.91551244,-14.23271661,84
ER_BR_25,Back Reef,43174.56294,FALSE,20.835141,Elford,Elford_ER_BR_25,146.2085192,-16.91528508,-9.189951955,229
