"","siteref","x","y","site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"99","L_63",36,64,"1_S_3","Slope",344527.627863483,FALSE,27.5841476655809,19142100104,"19142100104_1_S_3",149.653679259255,-19.5714807471737
"100","L_64",36,61,"1_S_4","Slope",113975.61347872,FALSE,26.2117452440033,19142100104,"19142100104_1_S_4",149.664003583831,-19.5793084834583
"101","L_65",39,63,"1_S_6","Slope",151721.358764804,FALSE,10.5392156862745,19142100104,"19142100104_1_S_6",149.664444229154,-19.5673870023161
"102","L_66",37,62,"1_S_8","Slope",205405.92535445,FALSE,29.1552511415525,19142100104,"19142100104_1_S_8",149.663878053567,-19.5740672780477
"103","L_67",42,51,"1_BR_1","Back Reef",15907.3456637161,FALSE,34.5882352941176,19143100104,"19143100104_1_BR_1",149.708550696789,-19.5856867962959
"104","L_67",42,51,"1_S_1","Slope",60315.7056971705,FALSE,34.7265625,19143100104,"19143100104_1_S_1",149.708804305891,-19.5860435294551
"105","L_68",20,79,"1_C_1","Crest",81812.8308468908,FALSE,11.0227272727273,19144100104,"19144100104_1_C_1",149.568488589771,-19.581007113809
"106","L_68",20,79,"1_OF_1","Outer Flat",75851.7884490644,FALSE,25.6281407035176,19144100104,"19144100104_1_OF_1",149.568152851886,-19.5820493610767
"107","L_69",20,80,"1_S_1","Slope",121890.909987552,FALSE,17.0126960418223,19144100104,"19144100104_1_S_1",149.567726314627,-19.5810331654803
"108","L_70",8,89,"1_BR_1","Back Reef",16229.1541512567,FALSE,19.1666666666667,19145100104,"19145100104_1_BR_1",149.507518168696,-19.5917848340367
"109","L_71",9,89,"1_S_1","Slope",195402.244126376,FALSE,14.1371788657295,19145100104,"19145100104_1_S_1",149.509199638306,-19.5877281296146
"110","L_72",7,89,"1_S_2","Slope",75515.6644563861,FALSE,18.019801980198,19145100104,"19145100104_1_S_2",149.506879461496,-19.5923327690689
"111","L_73",26,66,"1_BR_1","Back Reef",18556.0643279478,FALSE,23.7373737373737,19146100104,"19146100104_1_BR_1",149.624343168426,-19.5959871399761
"112","L_73",26,66,"1_C_1","Crest",145470.268076622,FALSE,18.624269954575,19146100104,"19146100104_1_C_1",149.627122237844,-19.5972693066674
"113","L_73",26,66,"1_IF_1","Inner Flat",23195.8722052923,FALSE,11.6,19146100104,"19146100104_1_IF_1",149.623956734711,-19.598507376183
"114","L_73",26,66,"1_OF_2","Outer Flat",95433.7224261966,FALSE,35.386119257087,19146100104,"19146100104_1_OF_2",149.626535454637,-19.5973531867002
"115","L_74",28,64,"1_BR_2","Back Reef",1325.53563886834,FALSE,35,19146100104,"19146100104_1_BR_2",149.636567402648,-19.5985773895474
"116","L_75",28,60,"1_BR_3","Back Reef",3645.72300861124,FALSE,35,19146100104,"19146100104_1_BR_3",149.647579182255,-19.6057141493891
"117","L_75",28,60,"1_S_2","Slope",60982.9178856858,FALSE,34.9464831804281,19146100104,"19146100104_1_S_2",149.646667929698,-19.6058338593535
"118","L_75",28,60,"1_S_16","Slope",120311.312566717,FALSE,26.87890625,19147100104,"19147100104_1_S_16",149.649844872877,-19.6066305759915
"119","L_76",22,61,"1_BR_4","Back Reef",7292.61944524758,FALSE,33.5810810810811,19146100104,"19146100104_1_BR_4",149.631293738332,-19.6210556289051
"120","L_76",22,61,"1_S_6","Slope",78563.1005764049,FALSE,23.7559523809524,19146100104,"19146100104_1_S_6",149.631602603291,-19.6225242575712
"121","L_77",27,65,"1_C_2","Crest",126253.383286327,FALSE,13.2145508537491,19146100104,"19146100104_1_C_2",149.632098686639,-19.5974475280404
"122","L_77",27,65,"1_OF_1","Outer Flat",76547.3204539092,FALSE,31.1435523114355,19146100104,"19146100104_1_OF_1",149.63010944213,-19.5979158852276
"123","L_77",27,65,"1_S_5","Slope",113991.112630155,FALSE,16.5827922077922,19146100104,"19146100104_1_S_5",149.629099464125,-19.5972619813746
"124","L_78",25,66,"1_C_3","Crest",118629.932742141,FALSE,18.8440221694378,19146100104,"19146100104_1_C_3",149.621822591901,-19.5987859073372
