site_id,DHW16,DHW17,DHW20
ER_BR_10,10.943,4.1625,5.5481
ER_BR_11,9.5073,3.5585,4.731
ER_BR_12,11.1889,4.1831,6.0141
ER_BR_13,10.8679,4.7202,6.6804
ER_BR_14,12.5319,6.0027,8.9825
ER_BR_15,10.7654,4.1225,5.3322
ER_BR_16,13.3859,6.7658,10.024
ER_BR_17,11.7627,5.3975,7.9624
ER_BR_18,11.178,4.1372,5.8576
ER_BR_19,9.0051,3.1358,3.9889
ER_BR_2,12.2666,5.671,8.4877
ER_BR_20,12.9567,6.3499,9.4088
ER_BR_21,10.2704,3.7453,4.706
ER_BR_22,9.667,3.3681,4.0897
ER_BR_23,9.0295,3.055,3.755
ER_BR_24,9.1327,3.067,3.7093
ER_BR_25,12.286,5.8211,8.5795
ER_BR_26,9.6325,3.6607,4.8663
ER_BR_27,10.4095,3.7671,4.8883
ER_BR_28,9.2211,3.2811,4.2755
ER_BR_29,10.6814,4.5997,6.3586
ER_BR_3,11.2752,4.8457,6.9574
ER_BR_30,9.4218,3.0668,3.7254
ER_BR_31,9.7091,3.6513,4.8496
ER_BR_32,9.9849,3.4127,4.3679
ER_BR_33,12.2313,5.722,8.3203
ER_BR_34,11.49,4.2834,6.0814
ER_BR_35,9.2769,2.9799,3.6275
ER_BR_36,11.3698,5.085,7.1699
ER_BR_37,9.1492,2.989,3.6555
ER_BR_38,9.8888,3.8267,5.1237
ER_BR_39,9.3772,3.1779,4.0099
ER_BR_4,13.013,6.4864,9.7071
ER_BR_40,9.2951,3.258,4.2332
ER_BR_41,11.6935,4.3899,6.224
ER_BR_42,11.7907,4.4564,6.316
ER_BR_43,9.7631,3.2963,4.2323
ER_BR_44,11.0706,4.0072,5.555
ER_BR_5,11.3337,4.344,6.3866
ER_BR_6,10.5129,4.3105,6.0317
ER_BR_7,11.2185,4.3018,6.0784
ER_BR_8,10.3116,4.2217,5.8092
ER_BR_9,11.3519,5.0802,7.4131
ER_C_1,11.1378,4.0939,5.6656
ER_C_10,11.1042,4.1475,5.7793
