RCP,MCDAAlgs,Years,Guided,PrSites,Seed1,Seed2,SRM,AssistedAdapt,NaturalAdapt,CoralCover,Cult_ES,Prov_ES
26,1,10,0,1,0.005,0,0,6,0,0.840061092,0.128791021,0.181375659
26,1,10,0,1,0.005,0,0,6,0,0.66476432,0.095131529,0.127065062
26,1,10,0,1,0.005,0,0,6,0,0.948937743,0.146829781,0.208987072
26,1,10,0,1,0.005,0,0,6,0,1,0.189901472,0.279701026
26,1,10,0,1,0.005,0,0,6,0,1,0.163612087,0.237370364
26,1,10,0,1,0.005,0,0,6,0,1,0.156278986,0.223651042
26,1,10,0,1,0.005,0,0,6,0,0.74030494,0.110558234,0.150487122
26,1,10,0,1,0.005,0,0,6,0,0.674313188,0.096791048,0.127846171
26,1,10,0,1,0.005,0,0,6,0.05,0.713436568,0.108496867,0.149412928
26,1,10,0,1,0.005,0,0,6,0.05,1,0.178745026,0.260618435
26,1,10,0,1,0.005,0,0,6,0.05,0.913414214,0.141599764,0.202148547
26,1,10,0,1,0.005,0,0,6,0.05,0.747582955,0.111161325,0.15300117
26,1,10,0,1,0.005,0,0,6,0.05,1,0.163752362,0.236787933
26,1,10,0,1,0.005,0,0,6,0.05,1,0.202627294,0.300695714
26,1,10,0,1,0.005,0,0,6,0.05,1,0.184567443,0.271565631
26,1,10,0,1,0.005,0,0,6,0.05,1,0.173919141,0.252836963
26,1,10,0,1,0.005,0,0,6,0.05,0.819948225,0.123616761,0.171366818
26,1,10,0,1,0.005,0,0,6,0.05,0.758597937,0.111049154,0.150842372
26,1,10,0,1,0.005,0,6,0,0,0.62962883,0.089646161,0.118419013
26,1,10,0,1,0.005,0,6,0,0,1,0.154276739,0.220128941
26,1,10,0,1,0.005,0,6,0,0,0.829262789,0.124101677,0.17352373
26,1,10,0,1,0.005,0,6,0,0,0.659046574,0.093321209,0.123884295
26,1,10,0,1,0.005,0,6,0,0,0.93575283,0.140897408,0.199078811
26,1,10,0,1,0.005,0,6,0,0,1,0.18347841,0.269289198
26,1,10,0,1,0.005,0,6,0,0,1,0.162486597,0.235504161
26,1,10,0,1,0.005,0,6,0,0,0.989757078,0.151750555,0.216068699
26,1,10,0,1,0.005,0,6,0,0,0.726027609,0.105063886,0.140815972
26,1,10,0,1,0.005,0,6,0,0,0.662571416,0.092598638,0.120362194
26,1,10,0,1,0.005,0,6,0,0.05,0.704655033,0.105043966,0.143559346
26,1,10,0,1,0.005,0,6,0,0.05,1,0.173744255,0.252399358
26,1,10,0,1,0.005,0,6,0,0.05,0.910039545,0.140442579,0.200159198
26,1,10,0,1,0.005,0,6,0,0.05,0.7397221,0.108063581,0.147702611
26,1,10,0,1,0.005,0,6,0,0.05,1,0.157933572,0.227178272
26,1,10,0,1,0.005,0,6,0,0.05,1,0.201562255,0.298961483
26,1,10,0,1,0.005,0,6,0,0.05,1,0.178891833,0.262355171
26,1,10,0,1,0.005,0,6,0,0.05,1,0.169421381,0.245422971
26,1,10,0,1,0.005,0,6,0,0.05,0.813670233,0.121201662,0.167136997
26,1,10,0,1,0.005,0,6,0,0.05,0.752242483,0.108764027,0.146792229
26,1,10,0,1,0.005,0,6,6,0,0.637367985,0.092338357,0.123075793
26,1,10,0,1,0.005,0,6,6,0,1,0.15778904,0.22596975
26,1,10,0,1,0.005,0,6,6,0,0.839365931,0.128472898,0.180836817
26,1,10,0,1,0.005,0,6,6,0,0.666433445,0.095926487,0.128457867
26,1,10,0,1,0.005,0,6,6,0,0.942341739,0.143656544,0.20374278
26,1,10,0,1,0.005,0,6,6,0,1,0.186916647,0.274886851
26,1,10,0,1,0.005,0,6,6,0,1,0.164675569,0.239114175
26,1,10,0,1,0.005,0,6,6,0,0.993203928,0.153065043,0.218323992
26,1,10,0,1,0.005,0,6,6,0,0.736499677,0.108790248,0.147510463
26,1,10,0,1,0.005,0,6,6,0,0.674226107,0.096718704,0.127735296
26,1,10,0,1,0.005,0,6,6,0.05,0.71356981,0.108902129,0.150106088
26,1,10,0,1,0.005,0,6,6,0.05,1,0.178326212,0.259899089
26,1,10,0,1,0.005,0,6,6,0.05,0.912919639,0.14130668,0.201653662
26,1,10,0,1,0.005,0,6,6,0.05,0.747762359,0.111450152,0.153471358
26,1,10,0,1,0.005,0,6,6,0.05,1,0.159693204,0.230130361
26,1,10,0,1,0.005,0,6,6,0.05,1,0.211762022,0.315412931
26,1,10,0,1,0.005,0,6,6,0.05,1,0.180920431,0.265658605
26,1,10,0,1,0.005,0,6,6,0.05,1,0.171318356,0.24857226
26,1,10,0,1,0.005,0,6,6,0.05,0.824837122,0.125511633,0.174572858
26,1,10,0,1,0.005,0,6,6,0.05,0.764197969,0.113427748,0.154880574
26,1,10,0,1,0.005,0.005,0,0,0,0.640228365,0.091226632,0.119826926
26,1,10,0,1,0.005,0.005,0,0,0,1,0.155429104,0.221432997
26,1,10,0,1,0.005,0.005,0,0,0,0.835407208,0.124443908,0.173290626
26,1,10,0,1,0.005,0.005,0,0,0,0.663668921,0.093399124,0.123264303
26,1,10,0,1,0.005,0.005,0,0,0,0.94334437,0.141805578,0.199971973
26,1,10,0,1,0.005,0.005,0,0,0,1,0.184262604,0.270126974
26,1,10,0,1,0.005,0.005,0,0,0,1,0.161984877,0.23419291
26,1,10,0,1,0.005,0.005,0,0,0,0.99556937,0.151615189,0.215144824
26,1,10,0,1,0.005,0.005,0,0,0,0.735297774,0.106252767,0.141756158
26,1,10,0,1,0.005,0.005,0,0,0,0.670136535,0.093589814,0.121015054
26,1,10,0,1,0.005,0.005,0,0,0.05,0.712181907,0.105742455,0.143802819
26,1,10,0,1,0.005,0.005,0,0,0.05,1,0.173400608,0.251470836
26,1,10,0,1,0.005,0.005,0,0,0.05,0.917058268,0.140520294,0.199595967
26,1,10,0,1,0.005,0.005,0,0,0.05,0.743528977,0.1080077,0.146922096
26,1,10,0,1,0.005,0.005,0,0,0.05,1,0.157687427,0.22632475
26,1,10,0,1,0.005,0.005,0,0,0.05,1,0.202382123,0.2999398
26,1,10,0,1,0.005,0.005,0,0,0.05,1,0.178727204,0.261719229
26,1,10,0,1,0.005,0.005,0,0,0.05,1,0.170601099,0.246704779
26,1,10,0,1,0.005,0.005,0,0,0.05,0.817344403,0.12107097,0.166305397
26,1,10,0,1,0.005,0.005,0,0,0.05,0.760013139,0.109746119,0.147648847
26,1,10,0,1,0.005,0.005,0,6,0,0.653202091,0.096049198,0.128292726
26,1,10,0,1,0.005,0.005,0,6,0,1,0.159271724,0.227825831
26,1,10,0,1,0.005,0.005,0,6,0,0.851788866,0.130797441,0.183835629
26,1,10,0,1,0.005,0.005,0,6,0,0.672554869,0.096546698,0.128768637
26,1,10,0,1,0.005,0.005,0,6,0,0.952876622,0.146006531,0.207018723
26,1,10,0,1,0.005,0.005,0,6,0,1,0.186993896,0.274630177
26,1,10,0,1,0.005,0.005,0,6,0,1,0.165184417,0.239537832
26,1,10,0,1,0.005,0.005,0,6,0,1,0.15474479,0.220540998
26,1,10,0,1,0.005,0.005,0,6,0,0.742752694,0.109885642,0.148594112
26,1,10,0,1,0.005,0.005,0,6,0,0.677794196,0.09652188,0.12649408
26,1,10,0,1,0.005,0.005,0,6,0.05,0.720724077,0.108745959,0.148898764
26,1,10,0,1,0.005,0.005,0,6,0.05,1,0.179224752,0.260969649
26,1,10,0,1,0.005,0.005,0,6,0.05,0.92510823,0.144310431,0.205960388
26,1,10,0,1,0.005,0.005,0,6,0.05,0.76212081,0.114693572,0.158007832
26,1,10,0,1,0.005,0.005,0,6,0.05,1,0.161614245,0.23291231
26,1,10,0,1,0.005,0.005,0,6,0.05,1,0.205778813,0.305457995
26,1,10,0,1,0.005,0.005,0,6,0.05,1,0.182892716,0.268521268
26,1,10,0,1,0.005,0.005,0,6,0.05,1,0.174081974,0.252532334
26,1,10,0,1,0.005,0.005,0,6,0.05,0.833509642,0.12698932,0.176300226
26,1,10,0,1,0.005,0.005,0,6,0.05,0.779321935,0.116301032,0.15867094
26,1,10,0,1,0.005,0.005,6,0,0,0.643840111,0.0921921,0.121408966
26,1,10,0,1,0.005,0.005,6,0,0,1,0.154812225,0.220478069
26,1,10,0,1,0.005,0.005,6,0,0,0.835844462,0.124710652,0.173784074
26,1,10,0,1,0.005,0.005,6,0,0,0.663191338,0.093337178,0.123120082
26,1,10,0,1,0.005,0.005,6,0,0,0.944362556,0.142140143,0.200428356
26,1,10,0,1,0.005,0.005,6,0,0,1,0.18431811,0.270191939
26,1,10,0,1,0.005,0.005,6,0,0,1,0.161014553,0.23277156
26,1,10,0,1,0.005,0.005,6,0,0,0.992767545,0.150912395,0.214081863
26,1,10,0,1,0.005,0.005,6,0,0,0.731917319,0.105715156,0.141211404
26,1,10,0,1,0.005,0.005,6,0,0,0.670461378,0.093675976,0.121149455
26,1,10,0,1,0.005,0.005,6,0,0.05,0.713829738,0.106075448,0.144282976
26,1,10,0,1,0.005,0.005,6,0,0.05,1,0.17386952,0.252161951
26,1,10,0,1,0.005,0.005,6,0,0.05,0.9154716,0.140325095,0.19939058
26,1,10,0,1,0.005,0.005,6,0,0.05,0.744497922,0.108123062,0.147012539
26,1,10,0,1,0.005,0.005,6,0,0.05,1,0.157661932,0.226343633
26,1,10,0,1,0.005,0.005,6,0,0.05,1,0.204987622,0.304080233
26,1,10,0,1,0.005,0.005,6,0,0.05,1,0.179476836,0.2628622
26,1,10,0,1,0.005,0.005,6,0,0.05,1,0.16925919,0.244591831
26,1,10,0,1,0.005,0.005,6,0,0.05,0.816723977,0.120612076,0.16553698
26,1,10,0,1,0.005,0.005,6,0,0.05,0.761259303,0.109933888,0.147781294
26,1,10,0,1,0.005,0.005,6,6,0,0.652655072,0.096200097,0.128599109
26,1,10,0,1,0.005,0.005,6,6,0,1,0.159621677,0.228417868
26,1,10,0,1,0.005,0.005,6,6,0,0.845349206,0.128652775,0.180516213
26,1,10,0,1,0.005,0.005,6,6,0,0.675420027,0.097401797,0.130104164
26,1,10,0,1,0.005,0.005,6,6,0,0.949805938,0.145140704,0.205742993
26,1,10,0,1,0.005,0.005,6,6,0,1,0.189181945,0.27806874
26,1,10,0,1,0.005,0.005,6,6,0,1,0.165091034,0.239445848
26,1,10,0,1,0.005,0.005,6,6,0,1,0.15813928,0.226004051
26,1,10,0,1,0.005,0.005,6,6,0,0.74662411,0.111187303,0.150688117
26,1,10,0,1,0.005,0.005,6,6,0,0.683793209,0.098412975,0.129557018
26,1,10,0,1,0.005,0.005,6,6,0.05,0.722291753,0.109077457,0.149376572
26,1,10,0,1,0.005,0.005,6,6,0.05,1,0.174864335,0.253904395
26,1,10,0,1,0.005,0.005,6,6,0.05,0.9255789,0.144494368,0.206254009
26,1,10,0,1,0.005,0.005,6,6,0.05,0.757988318,0.113203224,0.155603867
26,1,10,0,1,0.005,0.005,6,6,0.05,1,0.163780177,0.236271198
26,1,10,0,1,0.005,0.005,6,6,0.05,1,0.208236949,0.309348395
26,1,10,0,1,0.005,0.005,6,6,0.05,1,0.183497284,0.26946299
26,1,10,0,1,0.005,0.005,6,6,0.05,1,0.172964823,0.250869345
26,1,10,0,1,0.005,0.005,6,6,0.05,0.831058722,0.125879602,0.174479136
26,1,10,0,1,0.005,0.005,6,6,0.05,0.76175096,0.110821176,0.149850643
26,1,10,0,2,0,0,0,0,0,0.624576329,0.087866257,0.115277893
26,1,10,0,2,0,0,0,0,0,1,0.151668831,0.215741157
26,1,10,0,2,0,0,0,0,0,0.823348697,0.121588043,0.169264022
26,1,10,0,2,0,0,0,0,0,0.653318927,0.091082831,0.119982671
26,1,10,0,2,0,0,0,0,0,0.930146861,0.138370619,0.194836767
26,1,10,0,2,0,0,0,0,0,1,0.179525834,0.262861538
26,1,10,0,2,0,0,0,0,0,1,0.158508511,0.228973374
26,1,10,0,2,0,0,0,0,0,0.980835899,0.14769778,0.209299496
26,1,10,0,2,0,0,0,0,0,0.721749002,0.103363345,0.137848879
26,1,10,0,2,0,0,0,0,0,0.658554984,0.091273258,0.117917717
26,1,10,0,2,0,0,0,0,0.05,0.697587562,0.102275646,0.138824
26,1,10,0,2,0,0,0,0,0.05,1,0.1699369,0.246129572
26,1,10,0,2,0,0,0,0,0.05,0.902249686,0.136932459,0.194337803
26,1,10,0,2,0,0,0,0,0.05,0.733214623,0.105515782,0.143350862
26,1,10,0,2,0,0,0,0,0.05,1,0.154944344,0.222235943
26,1,10,0,2,0,0,0,0,0.05,1,0.19768159,0.292687297
26,1,10,0,2,0,0,0,0,0.05,1,0.17520276,0.25635278
26,1,10,0,2,0,0,0,0,0.05,1,0.165242871,0.238537349
26,1,10,0,2,0,0,0,0,0.05,0.8072987,0.118417725,0.162394763
26,1,10,0,2,0,0,0,0,0.05,0.747645294,0.106947184,0.143617673
26,1,10,0,2,0,0,0,6,0,0.624576329,0.087866257,0.115277893
26,1,10,0,2,0,0,0,6,0,1,0.151668831,0.215741157
26,1,10,0,2,0,0,0,6,0,0.823348697,0.121588043,0.169264022
26,1,10,0,2,0,0,0,6,0,0.653318927,0.091082831,0.119982671
26,1,10,0,2,0,0,0,6,0,0.930146861,0.138370619,0.194836767
26,1,10,0,2,0,0,0,6,0,1,0.179525834,0.262861538
26,1,10,0,2,0,0,0,6,0,1,0.158508511,0.228973374
26,1,10,0,2,0,0,0,6,0,0.980835899,0.14769778,0.209299496
26,1,10,0,2,0,0,0,6,0,0.721749002,0.103363345,0.137848879
26,1,10,0,2,0,0,0,6,0,0.658554984,0.091273258,0.117917717
26,1,10,0,2,0,0,0,6,0.05,0.697587562,0.102275646,0.138824
