site_id,habitat,benthic,rubble,k,Reef
MR_OF_10,Outer Flat,Hard Substrate,0,63.790186125211505,Moore
MR_OF_11,Outer Flat,Rock,0,38.81856540084388,Moore
MR_OF_12,Outer Flat,Hard Substrate,0,73.41269841269842,Moore
MR_OF_2,Outer Flat,Hard Substrate,0,61.76136363636363,Moore
MR_OF_3,Outer Flat,Hard Substrate,0,59.32721712538226,Moore
MR_OF_4,Outer Flat,Hard Substrate,0,55.65438373570521,Moore
MR_OF_5,Outer Flat,Hard Substrate,0,60.684769775678866,Moore
MR_OF_6,Outer Flat,Hard Substrate,0,80.86560364464692,Moore
MR_OF_7,Outer Flat,Rock,0,29.382716049382715,Moore
MR_OF_8,Outer Flat,Rock,0,48.921363952679194,Moore
MR_OF_9,Outer Flat,Hard Substrate,0,51.689189189189186,Moore
MR_P_1,Patch,Rock,0,37.77777777777778,Moore
MR_SS_11,Sheltered Slope,Rock,0,74.38848920863309,Moore
MR_SS_2,Sheltered Slope,Hard Substrate,0,73.48066298342542,Moore
MR_SS_3,Sheltered Slope,Rock,0,61.8458075407991,Moore
MR_SS_4,Sheltered Slope,Rock,0,64.38294010889292,Moore
MR_S_1,Slope,Rock,0,78.1139362729321,Moore
MR_S_10,Slope,Rock,0,69.49061662198392,Moore
MR_S_12,Slope,Rock,0,50.255102040816325,Moore
MR_S_14,Slope,Rock,0,51.105651105651106,Moore
MR_S_17,Slope,Rock,0,67.24565756823822,Moore
MR_S_19,Slope,Rock,0,66.19256017505471,Moore
MR_S_2,Slope,Rock,0,48.83370955605719,Moore
MR_S_20,Slope,Rock,0,64.39351593068754,Moore
MR_S_21,Slope,Rock,0,82.8048780487805,Moore
MR_S_24,Slope,Rock,0,67.25738396624473,Moore
MR_S_25,Slope,Rock,0,80.04016064257029,Moore
MR_S_26,Slope,Rock,0,55.98975016015375,Moore
MR_S_28,Slope,Rock,0,76.51563497128271,Moore
MR_S_29,Slope,Rock,0,59.37007874015748,Moore
MR_S_3,Slope,Rock,0,77.24671827667451,Moore
MR_S_32,Slope,Rock,0,39.57968476357268,Moore
MR_S_33,Slope,Rock,0,68.36827711941659,Moore
MR_S_34,Slope,Rock,0,80.78770413064362,Moore
MR_S_35,Slope,Rock,0,37.12984054669704,Moore
MR_S_36,Slope,Rock,0,43.85964912280702,Moore
MR_S_37,Slope,Rock,0,73.40255591054313,Moore
MR_S_5,Slope,Rock,0,43.4416365824308,Moore
MR_S_6,Slope,Rock,0,81.04335047759001,Moore
MR_S_7,Slope,Rock,0,48.85900570497147,Moore
MR_S_9,Slope,Rock,0,74.63617463617463,Moore
ER_BR_1,Back Reef,Rock,0,92.5925925925926,Elford
ER_BR_11,Back Reef,Rock,0,80.82706766917293,Elford
ER_BR_14,Back Reef,Hard Substrate,0,60.10928961748634,Elford
ER_BR_15,Back Reef,Rock,0,67.3780487804878,Elford
ER_BR_16,Back Reef,Rock,0,90.65934065934066,Elford
ER_BR_17,Back Reef,Hard Substrate,0,46.0,Elford
ER_BR_18,Back Reef,Hard Substrate,0,100.0,Elford
ER_BR_19,Back Reef,Rock,0,74.01869158878505,Elford
ER_BR_20,Back Reef,Rock,0,82.53012048192771,Elford
ER_BR_21,Back Reef,Rock,0,86.7579908675799,Elford
ER_BR_22,Back Reef,Rock,0,86.36363636363636,Elford
ER_BR_24,Back Reef,Rock,0,90.57815845824412,Elford
ER_BR_26,Back Reef,Hard Substrate,0,67.78523489932886,Elford
ER_BR_31,Back Reef,Rock,0,52.53164556962025,Elford
ER_BR_33,Back Reef,Rock,0,59.58904109589041,Elford
ER_BR_38,Back Reef,Hard Substrate,0,51.8796992481203,Elford
ER_BR_4,Back Reef,Rock,0,73.53951890034364,Elford
ER_BR_42,Back Reef,Rock,0,97.6,Elford
ER_BR_43,Back Reef,Hard Substrate,0,45.16129032258065,Elford
ER_BR_44,Back Reef,Rock,0,99.48186528497409,Elford
ER_BR_9,Back Reef,Rock,0,52.38095238095238,Elford
ER_C_1,Crest,Rock,0,36.96750902527076,Elford
ER_C_10,Crest,Rock,0,31.962025316455698,Elford
ER_C_11,Crest,Rock,0,41.852487135506,Elford
ER_C_12,Crest,Rock,0,25.0,Elford
ER_C_2,Crest,Rock,0,11.174242424242424,Elford
ER_C_3,Crest,Rock,0,40.72229140722291,Elford
ER_C_4,Crest,Hard Substrate,0,51.816745655608216,Elford
ER_C_5,Crest,Rock,0,26.35135135135135,Elford
ER_C_6,Crest,Hard Substrate,0,83.82352941176471,Elford
ER_C_7,Crest,Rock,0,31.239669421487605,Elford
ER_C_8,Crest,Rock,0,29.042638777152053,Elford
ER_C_9,Crest,Rock,0,47.452229299363054,Elford
ER_IF_1,Inner Flat,Hard Substrate,0,84.21052631578948,Elford
ER_IF_10,Inner Flat,Hard Substrate,0,51.66444740346205,Elford
ER_IF_13,Inner Flat,Hard Substrate,0,67.7072493929934,Elford
ER_IF_15,Inner Flat,Hard Substrate,0,52.8664142779881,Elford
ER_IF_16,Inner Flat,Hard Substrate,0,70.18362900715842,Elford
ER_IF_19,Inner Flat,Hard Substrate,0,51.04477611940298,Elford
ER_IF_20,Inner Flat,Hard Substrate,0,62.08754208754209,Elford
ER_IF_24,Inner Flat,Hard Substrate,0,49.39113492450073,Elford
ER_IF_26,Inner Flat,Hard Substrate,0,51.06382978723404,Elford
ER_IF_6,Inner Flat,Hard Substrate,0,56.52409312398484,Elford
ER_OF_1,Outer Flat,Hard Substrate,0,77.34657039711192,Elford
ER_OF_10,Outer Flat,Hard Substrate,0,69.664758789861,Elford
ER_OF_11,Outer Flat,Hard Substrate,0,67.7950594693504,Elford
ER_OF_12,Outer Flat,Hard Substrate,0,67.84409257003654,Elford
ER_OF_13,Outer Flat,Hard Substrate,0,66.66666666666667,Elford
ER_OF_14,Outer Flat,Hard Substrate,0,68.61233480176212,Elford
ER_OF_15,Outer Flat,Hard Substrate,0,61.8368962787015,Elford
ER_OF_16,Outer Flat,Hard Substrate,0,79.14798206278027,Elford
ER_OF_17,Outer Flat,Rock,0,10.855263157894736,Elford
ER_OF_18,Outer Flat,Hard Substrate,0,75.69721115537848,Elford
ER_OF_19,Outer Flat,Hard Substrate,0,77.61194029850746,Elford
ER_OF_2,Outer Flat,Rock,0,37.197523916713564,Elford
ER_OF_20,Outer Flat,Hard Substrate,0,77.10437710437711,Elford
ER_OF_3,Outer Flat,Rock,0,31.211498973305954,Elford
ER_OF_4,Outer Flat,Rock,0,48.47715736040609,Elford
ER_OF_5,Outer Flat,Rock,0,8.620689655172415,Elford
ER_OF_6,Outer Flat,Hard Substrate,0,65.41666666666667,Elford
ER_OF_7,Outer Flat,Hard Substrate,0,45.45454545454545,Elford
ER_OF_8,Outer Flat,Hard Substrate,0,54.904831625183014,Elford
ER_OF_9,Outer Flat,Rock,0,39.48472139005393,Elford
ER_P_2,Patch,Rock,0,23.529411764705884,Elford
ER_SS_1,Sheltered Slope,Hard Substrate,0,62.3342175066313,Elford
ER_SS_11,Sheltered Slope,Rock,0,81.25,Elford
ER_SS_12,Sheltered Slope,Rock,0,30.90909090909091,Elford
ER_SS_4,Sheltered Slope,Rock,0,43.31983805668016,Elford
