"","lat","long","siteref","site_id","habitat","area","rubble","k","Reef","reef_siteid","x","y"
"55",-19.5736043412577,149.652462466715,"L_55","1_BR_3","Back Reef",5631.84712940874,FALSE,21.4545454545455,19142100104,"19142100104_1_BR_3",35,64
"56",-19.5771702074731,149.664846583335,"L_56","1_BR_4","Back Reef",44064.9503189027,FALSE,25.7356076759062,19142100104,"19142100104_1_BR_4",37,61
"57",-19.5792293848608,149.669477707997,"L_57","1_BR_5","Back Reef",15241.1854191981,FALSE,39.65625,19142100104,"19142100104_1_BR_5",37,60
"58",-19.5670485424849,149.658251363749,"L_58","1_C_1","Crest",25838.3530361885,FALSE,21.1111111111111,19142100104,"19142100104_1_C_1",38,64
"59",-19.5690844502811,149.663966802264,"L_59","1_C_2","Crest",169282.41143637,FALSE,18.6421814134669,19142100104,"19142100104_1_C_2",38,63
"60",-19.5750999165095,149.668547342744,"L_60","1_C_3","Crest",81833.5300168069,FALSE,51.0250569476082,19142100104,"19142100104_1_C_3",38,61
"61",-19.5722204043636,149.659603850534,"L_61","1_S_1","Slope",103692.691478221,FALSE,31.158371040724,19142100104,"19142100104_1_S_1",37,63
"62",-19.5658582213454,149.655217933479,"L_62","1_S_2","Slope",157344.716562011,FALSE,24.2963625521765,19142100104,"19142100104_1_S_2",38,65
"63",-19.5714807471737,149.653679259255,"L_63","1_S_3","Slope",344527.627863483,FALSE,27.5841476655809,19142100104,"19142100104_1_S_3",36,64
"64",-19.5793084834583,149.664003583831,"L_64","1_S_4","Slope",113975.61347872,FALSE,26.2117452440033,19142100104,"19142100104_1_S_4",36,61
"65",-19.5673870023161,149.664444229154,"L_65","1_S_6","Slope",151721.358764804,FALSE,10.5392156862745,19142100104,"19142100104_1_S_6",39,63
"66",-19.5740672780477,149.663878053567,"L_66","1_S_8","Slope",205405.92535445,FALSE,29.1552511415525,19142100104,"19142100104_1_S_8",37,62
"67",-19.5856867962959,149.708550696789,"L_67","1_BR_1","Back Reef",15907.3456637161,FALSE,34.5882352941176,19143100104,"19143100104_1_BR_1",42,51
"68",-19.581007113809,149.568488589771,"L_68","1_C_1","Crest",81812.8308468908,FALSE,11.0227272727273,19144100104,"19144100104_1_C_1",20,79
"69",-19.5810331654803,149.567726314627,"L_69","1_S_1","Slope",121890.909987552,FALSE,17.0126960418223,19144100104,"19144100104_1_S_1",20,80
"70",-19.5917848340367,149.507518168696,"L_70","1_BR_1","Back Reef",16229.1541512567,FALSE,19.1666666666667,19145100104,"19145100104_1_BR_1",8,89
"71",-19.5877281296146,149.509199638306,"L_71","1_S_1","Slope",195402.244126376,FALSE,14.1371788657295,19145100104,"19145100104_1_S_1",9,89
"72",-19.5923327690689,149.506879461496,"L_72","1_S_2","Slope",75515.6644563861,FALSE,18.019801980198,19145100104,"19145100104_1_S_2",7,89
"73",-19.5959871399761,149.624343168426,"L_73","1_BR_1","Back Reef",18556.0643279478,FALSE,23.7373737373737,19146100104,"19146100104_1_BR_1",26,66
"74",-19.5985773895474,149.636567402648,"L_74","1_BR_2","Back Reef",1325.53563886834,FALSE,35,19146100104,"19146100104_1_BR_2",28,64
"75",-19.6057141493891,149.647579182255,"L_75","1_BR_3","Back Reef",3645.72300861124,FALSE,35,19146100104,"19146100104_1_BR_3",28,60
"76",-19.6210556289051,149.631293738332,"L_76","1_BR_4","Back Reef",7292.61944524758,FALSE,33.5810810810811,19146100104,"19146100104_1_BR_4",22,61
"77",-19.5974475280404,149.632098686639,"L_77","1_C_2","Crest",126253.383286327,FALSE,13.2145508537491,19146100104,"19146100104_1_C_2",27,65
"78",-19.5987859073372,149.621822591901,"L_78","1_C_3","Crest",118629.932742141,FALSE,18.8440221694378,19146100104,"19146100104_1_C_3",25,66
"79",-19.6288392183176,149.637564227864,"L_79","1_C_4","Crest",56027.8695437023,FALSE,5.69514237855946,19146100104,"19146100104_1_C_4",22,59
"80",-19.5989684408506,149.62894198543,"L_80","1_SS_1","Sheltered Slope",8947.1869505574,FALSE,15.1704545454545,19146100104,"19146100104_1_SS_1",26,65
"81",-19.5969349831765,149.619759756879,"L_81","1_SS_2","Sheltered Slope",4639.00659557804,FALSE,3.92156862745098,19146100104,"19146100104_1_SS_2",25,67
"82",-19.6239626869364,149.635412681226,"L_82","1_SS_3","Sheltered Slope",128953.808073959,FALSE,22.0866715222141,19146100104,"19146100104_1_SS_3",22,60
"83",-19.5976274965676,149.633811018475,"L_83","1_S_1","Slope",80524.4762367606,FALSE,20.0174418604651,19146100104,"19146100104_1_S_1",27,64
"84",-19.61706934741,149.625189783137,"L_84","1_S_11","Slope",41100.7149098781,FALSE,35,19146100104,"19146100104_1_S_11",22,63
"85",-19.6148173370661,149.63993443135,"L_85","1_S_12","Slope",16904.6261927481,FALSE,22.9395604395604,19146100104,"19146100104_1_S_12",25,60
"86",-19.5947089262579,149.624192228432,"L_86","1_S_3","Slope",9277.86068682326,FALSE,27.1938775510204,19146100104,"19146100104_1_S_3",26,67
"87",-19.6206531218938,149.634715405119,"L_87","1_S_7","Slope",54694.9633000125,FALSE,19.594127806563,19146100104,"19146100104_1_S_7",23,60
"88",-19.6293668713252,149.6401453864,"L_88","1_S_8","Slope",75920.6375371898,FALSE,18.3663366336634,19146100104,"19146100104_1_S_8",22,58
"89",-19.6028829285434,149.642004327081,"L_89","1_S_9","Slope",78212.7601539101,FALSE,35,19146100104,"19146100104_1_S_9",28,62
"90",-19.6085847929266,149.650134025079,"L_90","1_BR_1","Back Reef",19555.2867655684,FALSE,29.6462264150943,19147100104,"19147100104_1_BR_1",28,59
