,lat,long,siteref,site_id,habitat,area,rubble,k,Reef,reef_siteid,x,y,recom_connectivity,sitedepth
107,-19.62913966,149.688322,L_107,1_IF_1,Inner Flat,156507.271,FALSE,67.38609113,19147100104,19147100104_1_IF_1,30,49,L_107_V1,0
108,-19.62195058,149.6639294,L_108,1_IF_2,Inner Flat,164766.9095,FALSE,63.44513928,19147100104,19147100104_1_IF_2,27,55,L_108_V1,0
109,-19.61667185,149.6602929,L_109,1_IF_3,Inner Flat,112376.5989,FALSE,58.43071786,19147100104,19147100104_1_IF_3,28,56,L_109_V1,0
110,-19.62603735,149.6560641,L_110,1_IF_5,Inner Flat,24864.99671,FALSE,47.95539033,19147100104,19147100104_1_IF_5,25,55,L_110_V1,0
111,-19.64572182,149.6854463,L_111,1_OF_1,Outer Flat,126693.0175,FALSE,33.82461312,19147100104,19147100104_1_OF_1,26,47,L_111_V1,0
112,-19.6222926,149.6662391,L_112,1_OF_2,Outer Flat,290086.206,FALSE,41.64781906,19147100104,19147100104_1_OF_2,28,54,L_112_V1,0
113,-19.62516568,149.6610232,L_113,1_OF_4,Outer Flat,122999.3766,FALSE,56.20715918,19147100104,19147100104_1_OF_4,26,55,L_113_V1,0
114,-19.63127592,149.6916508,L_114,1_OF_7,Outer Flat,158834.8578,FALSE,45.07955215,19147100104,19147100104_1_OF_7,30,48,L_114_V1,0
115,-19.61817269,149.6640199,L_115,1_OF_8,Outer Flat,75583.25018,FALSE,46.54320988,19147100104,19147100104_1_OF_8,28,55,L_115_V1,0
116,-19.62126144,149.6587561,L_116,1_OF_9,Outer Flat,108073.5794,FALSE,61.31830009,19147100104,19147100104_1_OF_9,27,56,L_116_V1,0
117,-19.6192832,149.6549538,L_117,1_SS_1,Sheltered Slope,103096.7019,FALSE,27.01992754,19147100104,19147100104_1_SS_1,26,57,L_117_V1,0
118,-19.63465152,149.6897945,L_118,1_SS_10,Sheltered Slope,95172.19595,FALSE,11.87745098,19147100104,19147100104_1_SS_10,29,48,L_118_V1,0
119,-19.64670161,149.6796909,L_119,1_SS_11,Sheltered Slope,83908.80326,FALSE,24.12290503,19147100104,19147100104_1_SS_11,25,48,L_119_V1,0
120,-19.63054646,149.6849391,L_120,1_SS_2,Sheltered Slope,184693.4196,FALSE,19.5242915,19147100104,19147100104_1_SS_2,29,49,L_120_V1,0
121,-19.62438926,149.6551053,L_121,1_SS_3,Sheltered Slope,97468.22228,FALSE,36.38888889,19147100104,19147100104_1_SS_3,25,56,L_121_V1,0
122,-19.61466087,149.6542258,L_122,1_SS_4,Sheltered Slope,90825.06475,FALSE,30.34800409,19147100104,19147100104_1_SS_4,27,58,L_122_V1,0
