"site_id","habitat","area","rubble","k","Reef","reef_siteid","long","lat"
"1_C_6","Crest",117875.026965514,FALSE,15.146708961142,"19141100104","19141100104_1_C_6",149.604222242441,-19.5474775236021
"1_C_7","Crest",140099.243835621,FALSE,13.9316811788346,"19141100104","19141100104_1_C_7",149.616706625093,-19.564688694374
"1_C_8","Crest",112931.806088981,FALSE,27.8666114333057,"19141100104","19141100104_1_C_8",149.614746478982,-19.5596771870019
"1_C_9","Crest",72854.7029357613,FALSE,22.3225806451613,"19141100104","19141100104_1_C_9",149.611508434871,-19.5560416395512
"1_IF_1","Inner Flat",145071.11625927,FALSE,48.6765655261459,"19141100104","19141100104_1_IF_1",149.602929273461,-19.5698475375703
"1_IF_10","Inner Flat",50013.2097356138,FALSE,56.6355140186916,"19141100104","19141100104_1_IF_10",149.599058720364,-19.5709279193378
"1_IF_2","Inner Flat",107625.714384594,FALSE,47.3821989528796,"19141100104","19141100104_1_IF_2",149.592207047814,-19.5602960973462
"1_IF_3","Inner Flat",197679.906595395,FALSE,57.8784295175024,"19141100104","19141100104_1_IF_3",149.60061189755,-19.5510164844031
"1_IF_4","Inner Flat",160633.117065336,FALSE,37.5073142188414,"19141100104","19141100104_1_IF_4",149.593924447378,-19.5697989251063
"1_IF_5","Inner Flat",137764.028888041,FALSE,50.4189373297003,"19141100104","19141100104_1_IF_5",149.606321707223,-19.5585212701288
"1_IF_6","Inner Flat",286805.238813085,FALSE,41.6558018252934,"19141100104","19141100104_1_IF_6",149.587921331773,-19.5672898241741
"1_IF_7","Inner Flat",225881.140407546,FALSE,46.5775290215589,"19141100104","19141100104_1_IF_7",149.610410834094,-19.5662200766469
"1_IF_8","Inner Flat",152654.909595485,FALSE,58.9244007375538,"19141100104","19141100104_1_IF_8",149.603923215757,-19.5537607963584
"1_IF_9","Inner Flat",160613.796423968,FALSE,59.3438781487991,"19141100104","19141100104_1_IF_9",149.587670015007,-19.5627611305055
"1_OF_1","Outer Flat",112278.85815991,FALSE,37.4058577405858,"19141100104","19141100104_1_OF_1",149.614565833719,-19.5656678542411
"1_OF_10","Outer Flat",38083.4692112436,FALSE,39.6551724137931,"19141100104","19141100104_1_OF_10",149.594530026415,-19.5607160146893
"1_OF_11","Outer Flat",59613.050267437,FALSE,73.9268680445151,"19141100104","19141100104_1_OF_11",149.606644815554,-19.5627469002413
"1_OF_12","Outer Flat",31790.47290423,FALSE,8.30860534124629,"19141100104","19141100104_1_OF_12",149.583095943038,-19.5613503275953
"1_OF_2","Outer Flat",86116.1380917244,FALSE,30.9705561613959,"19141100104","19141100104_1_OF_2",149.606973572449,-19.5695921450843
"1_OF_3","Outer Flat",121845.260044056,FALSE,76.2830482115086,"19141100104","19141100104_1_OF_3",149.599010392983,-19.546930429988
"1_OF_4","Outer Flat",188759.614714454,FALSE,75.1494023904382,"19141100104","19141100104_1_OF_4",149.608500379296,-19.5566485247841
"1_OF_5","Outer Flat",175825.122676243,FALSE,45.5167820990943,"19141100104","19141100104_1_OF_5",149.603732336636,-19.549978484143
"1_OF_6","Outer Flat",108957.545618331,FALSE,42.6850258175559,"19141100104","19141100104_1_OF_6",149.58368503758,-19.5670365715781
"1_OF_7","Outer Flat",117901.541568419,FALSE,67.7979479084452,"19141100104","19141100104_1_OF_7",149.612071949908,-19.5615558364327
"1_OF_8","Outer Flat",27148.5399397584,FALSE,24.9146757679181,"19141100104","19141100104_1_OF_8",149.592243890694,-19.5439482706494
"1_OF_9","Outer Flat",83783.7712785802,FALSE,40.6911928651059,"19141100104","19141100104_1_OF_9",149.59964337719,-19.5596087743581
"1_P_1","Patch",1986.64721287601,FALSE,13.6363636363636,"19141100104","19141100104_1_P_1",149.587777723479,-19.5510384645776
"1_P_2","Patch",662.270053399727,FALSE,35,"19141100104","19141100104_1_P_2",149.600837648863,-19.5537266813856
"1_SS_1","Sheltered Slope",150331.75556724,FALSE,34.7863777089783,"19141100104","19141100104_1_SS_1",149.594496030458,-19.5535714746096
"1_SS_2","Sheltered Slope",146699.739523391,FALSE,35.6969309462916,"19141100104","19141100104_1_SS_2",149.602502189376,-19.5566757450219
"1_SS_3","Sheltered Slope",133449.21851303,FALSE,33.633169360506,"19141100104","19141100104_1_SS_3",149.589349736509,-19.5574367016742
"1_SS_4","Sheltered Slope",128816.273027224,FALSE,24.8663294797688,"19141100104","19141100104_1_SS_4",149.582278597438,-19.5607912186185
"1_SS_5","Sheltered Slope",89400.2841825541,FALSE,26.2067156348374,"19141100104","19141100104_1_SS_5",149.585781807464,-19.552437050634
"1_SS_6","Sheltered Slope",216241.392560785,FALSE,32.0367965367965,"19141100104","19141100104_1_SS_6",149.59580763516,-19.558283532172
"1_SS_7","Sheltered Slope",18546.1620123507,FALSE,41.375,"19141100104","19141100104_1_SS_7",149.60800312353,-19.5619614607943
"1_SS_8","Sheltered Slope",4967.68817213178,FALSE,2.14285714285714,"19141100104","19141100104_1_SS_8",149.58251383301,-19.5675884056331
"1_SS_9","Sheltered Slope",662.160829480737,FALSE,35,"19141100104","19141100104_1_SS_9",149.590378531335,-19.5445337829598
"1_S_1","Slope",57301.1012553163,FALSE,28.5209003215434,"19141100104","19141100104_1_S_1",149.610909166755,-19.5695780524723
